6933:RrRrRR GgGggG BbbBbb
4169:rrRrRR GGGGGg bBbBBb
2131:RrrRrR GGGGgG bbBbBb
5297:RrRrrr ggggGg BbbbBb
9424:RrrRrR ggGgGg bbbBbB
6124:rRrRRr Gggggg bBbBBB
5860:rrRRRR GgGgGG bbBBBb
4411:rRRrrr GGggGG bBbbbB
3034:rRrrRr Gggggg bbBbbb
6273:rRRrrr gGGGGG bbbBBb
2726:RRrrrr GGgGgg bBBBbb
2643:RRrRrr GggGgG BBbbbB
3514:RrRrRR gggGgg BbbBbB
6428:RrRRrr gGggGg bBbbBB
2399:rrrrRr GggGgg BbbbBb
5663:RrrRRr GGggGG bBbbbb
8430:RRrRrR GGgGGg BBBbbb
3408:rrRRRr gGGGgG bbBbBB
4829:RRRRRR GGGGGG BBBBBB
6141:rrrrrr gggggg bbbbbb
